,Unnamed: 0,station_name,station_name_kana,fuken_id,type,Latitude (degree),Latitude (minute),latitude,Longitude (degree),Longitude (minute),longitude,height,f_pre,f_wsd,f_tem,f_sun,f_snc,End_year,End_month,End_day,obs_ended,note1,note2,note3,note4,note5,amedas_id1,amedas_id2,station_name_roman
47835,1533,油津,アブラツ,87,S,31,34.7,31.5783333333,131,24.4,131.406666667,2.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,87492.0,,Aburatsu
47836,1578,屋久島,ヤクシマ,88,S,30,23.1,30.385,130,39.5,130.658333333,37.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,88686.0,,Yakushima
47837,1573,種子島,タネガシマ,88,S,30,43.2,30.72,130,58.9,130.981666667,24.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,88612.0,,Tanegashima
47838,1494,牛深,ウシブカ,86,S,32,11.8,32.1966666667,130,1.6,130.026666667,3.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,86491.0,,Ushibuka
47887,1310,松山,マツヤマ,73,S,33,50.6,33.8433333333,132,46.6,132.776666667,32.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,73166.0,,Matsuyama
47890,1300,多度津,タドツ,72,S,34,16.5,34.275,133,45.1,133.751666667,3.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,72111.0,,Tadotsu
47891,1299,高松,タカマツ,72,S,34,19.0,34.3166666667,134,3.2,134.053333333,8.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,72086.0,,Takamatsu
47892,1318,宇和島,ウワジマ,73,S,33,13.6,33.2266666667,132,33.1,132.551666667,2.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,73442.0,,Uwajima
47893,1333,高知,コウチ,74,S,33,34.0,33.5666666667,133,32.9,133.548333333,0.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,74181.0,,Kouchi
47895,1284,徳島,トクシマ,71,S,34,4.0,34.0666666667,134,34.4,134.573333333,1.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,71106.0,,Tokushima
47897,1345,宿毛,スクモ,74,S,32,55.2,32.92,132,41.7,132.695,2.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,74447.0,,Sukumo
47898,1347,清水,シミズ,74,S,32,43.3,32.7216666667,133,0.6,133.01,31.0,Y,Y,Y,Y,Y,9999,99,99,,1938年7月12日までの地点名「足摺」,,,,,74516.0,,Shimizu
47899,1342,室戸岬,ムロトミサキ,74,S,33,15.1,33.2516666667,134,10.6,134.176666667,185.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,74372.0,,Murotomisaki
47918,1608,石垣島,イシガキジマ,91,S,24,20.2,24.3366666667,124,9.8,124.163333333,5.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,94081.0,,Ishigakijima
47927,1611,宮古島,ミヤコジマ,91,S,24,47.6,24.7933333333,125,16.6,125.276666667,39.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,93041.0,,Miyakojima
47936,1605,那覇,ナハ,91,S,26,12.4,26.2066666667,127,41.1,127.685,28.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,91197.0,,Naha
47945,1622,南大東(南大東島),ミナミダイトウジマ,91,S,25,49.7,25.8283333333,131,13.6,131.226666667,15.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,92011.0,,Minamidaitoujima
